dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Mokotów,LO,X LO im. Królowej Jadwigi,1CN [O] biz-geogr-mat (ang-niem),biz-geogr-mat,ang-niem,162.20,47,44.33
Mokotów,LO,XLII LO im. M. Konopnickiej,1a [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,131.90,69,68.67
Mokotów,LO,XLII LO im. M. Konopnickiej,1c [O] biol-chem-ang (ang-fra*),ang-biol-chem,ang-fra,138.10,69,68.67
Mokotów,LO,XLII LO im. M. Konopnickiej,1b [O] hist-ang-pol (ang-wlo*),ang-hist-pol,ang-wlo,126.00,69,68.67
Mokotów,LO,XLIII LO im. K. Wielkiego,1Bn [O] geogr-ang-mat (ang-niem),ang-geogr-mat,ang-niem,153.15,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1An [O] hist-ang-wos (ang-niem),ang-hist-wos,ang-niem,137.40,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Df [O] biol-ang-pol (ang-fra),ang-biol-pol,ang-fra,123.80,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Br [O] geogr-ang-mat (ang-ros),ang-geogr-mat,ang-ros,129.40,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Cf [O] biol-chem-ang (ang-fra),ang-biol-chem,ang-fra,137.50,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Ah [O] hist-ang-wos (ang-hisz),ang-hist-wos,ang-hisz,147.95,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Ch [O] biol-chem-ang (ang-hisz),ang-biol-chem,ang-hisz,154.15,94,97.0
Mokotów,LO,XLIII LO im. K. Wielkiego,1Dh [O] biol-ang-pol (ang-hisz),ang-biol-pol,ang-hisz,141.15,94,97.0
Mokotów,LO,XLIV LO im. S. Banacha,1B2 [O] biol-chem (ang-fra),biol-chem,ang-fra,154.75,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1C1 [O] geogr-mat (ang-niem),geogr-mat,ang-niem,156.20,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1D1 [O] hist-ang-wos (ang-niem),ang-hist-wos,ang-niem,141.30,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1C2 [O] geogr-mat (ang-fra),geogr-mat,ang-fra,157.95,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1B1 [O] biol-chem (ang-niem),biol-chem,ang-niem,155.00,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1D2 [O] hist-ang-wos (ang-fra),ang-hist-wos,ang-fra,131.30,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1A2 [O] inf-ang-mat (ang-fra),ang-inf-mat,ang-fra,146.30,54,45.33
Mokotów,LO,XLIV LO im. S. Banacha,1A1 [O] inf-ang-mat (ang-niem),ang-inf-mat,ang-niem,158.00,54,45.33
